stage,gate,print_order,file,candidate_id,start_priority,notes
01_LEGO,LEGO_CLUTCH,1,CAL_LEGO_2x2_delta_0.00.stl,LEGO_D_0.00,FIRST,Nominal first
01_LEGO,LEGO_CLUTCH,2,CAL_LEGO_2x2_delta_m0.04.stl,LEGO_D_m0.04,ADAPTIVE,Looser than nominal
01_LEGO,LEGO_CLUTCH,3,CAL_LEGO_2x2_delta_p0.04.stl,LEGO_D_p0.04,ADAPTIVE,Tighter than nominal
01_LEGO,LEGO_CLUTCH,4,CAL_LEGO_2x2_delta_m0.08.stl,LEGO_D_m0.08,FALLBACK,Loosest candidate
01_LEGO,LEGO_CLUTCH,5,CAL_LEGO_2x2_delta_p0.08.stl,LEGO_D_p0.08,FALLBACK,Tightest candidate
02_GT_MALE,GT_MALE,1,CAL_GT_male_29.78.stl,GT_29.78,FIRST,Nominal first
02_GT_MALE,GT_MALE,2,CAL_GT_male_29.70.stl,GT_29.70,ADAPTIVE,Looser than nominal
02_GT_MALE,GT_MALE,3,CAL_GT_male_29.86.stl,GT_29.86,ADAPTIVE,Tighter than nominal
02_GT_MALE,GT_MALE,4,CAL_GT_male_29.60.stl,GT_29.60,FALLBACK,Loosest candidate
02_GT_MALE,GT_MALE,5,CAL_GT_male_29.96.stl,GT_29.96,FALLBACK,Tightest candidate
03_CORE,CORE_CLEARANCE,1,CAL_CORE_SOCKET_0.30_v0.1.stl,CORE_0.30,FIRST,Nominal socket first
03_CORE,CORE_CLEARANCE,2,CAL_CORE_SOCKET_0.40_v0.1.stl,CORE_0.40,ADAPTIVE,Looser socket
03_CORE,CORE_CLEARANCE,3,CAL_CORE_SOCKET_0.20_v0.1.stl,CORE_0.20,ADAPTIVE,Tighter socket
03_CORE,CORE_REFERENCE,4,HAP_GT_CORE_nominal_v0.1.stl,CORE_REFERENCE,ALWAYS,Use same core for all socket tests
04_TECHNIC,TECHNIC_HOLE,1,CAL_TECHNIC_HOLE_4.90_v0.1.stl,TECHNIC_4.90,FIRST,Nominal first
04_TECHNIC,TECHNIC_HOLE,2,CAL_TECHNIC_HOLE_5.00_v0.1.stl,TECHNIC_5.00,ADAPTIVE,Looser hole
04_TECHNIC,TECHNIC_HOLE,3,CAL_TECHNIC_HOLE_4.80_v0.1.stl,TECHNIC_4.80,ADAPTIVE,Tighter hole
04_TECHNIC,TECHNIC_HOLE,4,CAL_TECHNIC_HOLE_5.10_v0.1.stl,TECHNIC_5.10,FALLBACK,Loosest hole
05_NATIVE,NATIVE_CONNECTOR,1,HAP_NATIVE_CONNECTOR_ONLY_scale_1.000_v0.1.stl,NATIVE_1.000,FIRST,Nominal first
05_NATIVE,NATIVE_CONNECTOR,2,HAP_NATIVE_CONNECTOR_ONLY_scale_0.998_v0.1.stl,NATIVE_0.998,ADAPTIVE,Looser than nominal
05_NATIVE,NATIVE_CONNECTOR,3,HAP_NATIVE_CONNECTOR_ONLY_scale_1.002_v0.1.stl,NATIVE_1.002,ADAPTIVE,Tighter than nominal
05_NATIVE,NATIVE_CONNECTOR,4,HAP_NATIVE_CONNECTOR_ONLY_scale_0.996_v0.1.stl,NATIVE_0.996,FALLBACK,Loosest candidate
05_NATIVE,NATIVE_CONNECTOR,5,HAP_NATIVE_CONNECTOR_ONLY_scale_1.004_v0.1.stl,NATIVE_1.004,FALLBACK,Tightest candidate
