gate,candidate_id,parameter,value,unit,result,tested_real,force_rating,wobble_rating,notes
LEGO_CLUTCH,LEGO_D_m0.08,LEGO_CLUTCH_DELTA,-0.08,mm,FAIL,NO,3,3,CI fixture
LEGO_CLUTCH,LEGO_D_m0.04,LEGO_CLUTCH_DELTA,-0.04,mm,FAIL,NO,2,2,CI fixture
LEGO_CLUTCH,LEGO_D_0.00,LEGO_CLUTCH_DELTA,0.00,mm,PASS,NO,2,1,CI synthetic winner
LEGO_CLUTCH,LEGO_D_p0.04,LEGO_CLUTCH_DELTA,0.04,mm,FAIL,NO,4,1,CI fixture
LEGO_CLUTCH,LEGO_D_p0.08,LEGO_CLUTCH_DELTA,0.08,mm,FAIL,NO,5,1,CI fixture
GT_MALE,GT_29.60,GT_MALE_FLAT,29.60,mm,FAIL,NO,1,4,CI fixture
GT_MALE,GT_29.70,GT_MALE_FLAT,29.70,mm,FAIL,NO,2,2,CI fixture
GT_MALE,GT_29.78,GT_MALE_FLAT,29.78,mm,PASS,NO,2,1,CI synthetic winner
GT_MALE,GT_29.86,GT_MALE_FLAT,29.86,mm,FAIL,NO,4,1,CI fixture
GT_MALE,GT_29.96,GT_MALE_FLAT,29.96,mm,FAIL,NO,5,1,CI fixture
CORE_CLEARANCE,CORE_0.20,CORE_CLEARANCE,0.20,mm,FAIL,NO,4,1,CI fixture
CORE_CLEARANCE,CORE_0.30,CORE_CLEARANCE,0.30,mm,PASS,NO,2,1,CI synthetic winner
CORE_CLEARANCE,CORE_0.40,CORE_CLEARANCE,0.40,mm,FAIL,NO,1,3,CI fixture
TECHNIC_HOLE,TECHNIC_4.80,TECHNIC_HOLE_D,4.80,mm,FAIL,NO,4,1,CI fixture
TECHNIC_HOLE,TECHNIC_4.90,TECHNIC_HOLE_D,4.90,mm,PASS,NO,2,1,CI synthetic winner
TECHNIC_HOLE,TECHNIC_5.00,TECHNIC_HOLE_D,5.00,mm,FAIL,NO,1,2,CI fixture
TECHNIC_HOLE,TECHNIC_5.10,TECHNIC_HOLE_D,5.10,mm,FAIL,NO,1,4,CI fixture
NATIVE_CONNECTOR,NATIVE_0.996,CONNECTOR_SCALE,0.996,ratio,FAIL,NO,4,1,CI fixture
NATIVE_CONNECTOR,NATIVE_0.998,CONNECTOR_SCALE,0.998,ratio,FAIL,NO,3,1,CI fixture
NATIVE_CONNECTOR,NATIVE_1.000,CONNECTOR_SCALE,1.000,ratio,PASS,NO,2,1,CI synthetic winner
NATIVE_CONNECTOR,NATIVE_1.002,CONNECTOR_SCALE,1.002,ratio,FAIL,NO,1,2,CI fixture
NATIVE_CONNECTOR,NATIVE_1.004,CONNECTOR_SCALE,1.004,ratio,FAIL,NO,1,4,CI fixture
