module_id,module_name,vertical_load_pass,lateral_rigidity_pass,twist_pass,crack_free,tested_real,result,notes
STRUCT-SKY2x4,Sky Core 2x4,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-SKY4x4,Sky Core 4x4,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-SKY4x6,Sky Core 4x6,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-BRIDGE32,Bridge Dual Core S32,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-BRIDGE40,Bridge Dual Core S40,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-BRIDGE-GT32,Bridge Dual GT S32,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-FOOT32,Dual Foot Core S32,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-FOOT40,Dual Foot Core S40,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-OUT40,Cross Outrigger S40,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-TECH3H,Technic Side Core 3H,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
STRUCT-TECH5H,Technic Side Core 5H,PASS,PASS,PASS,PASS,NO,PASS,CI fixture
