part_id,category,selector,nx,ny,height_mm,priority,use
LS-BR-0202,BRICK,BRICK_2x2_H1,2,2,9.60,STARTER,Compact stackable building block
LS-BR-0204,BRICK,BRICK_2x4_H1,2,4,9.60,STARTER,General structural brick
LS-BR-0206,BRICK,BRICK_2x6_H1,2,6,9.60,FULL,Long structural brick
LS-BR-0208,BRICK,BRICK_2x8_H1,2,8,9.60,STARTER,Long beam-like brick
LS-BR-0404,BRICK,BRICK_4x4_H1,4,4,9.60,FULL,Square load-spreading brick
LS-PL-0202,PLATE,PLATE_2x2,2,2,3.20,FULL,Small shim plate
LS-PL-0204,PLATE,PLATE_2x4,2,4,3.20,FULL,Low-profile structural plate
LS-PL-0404,PLATE,PLATE_4x4,4,4,3.20,STARTER,Medium adapter base plate
LS-PL-0406,PLATE,PLATE_4x6,4,6,3.20,FULL,Rectangular adapter base plate
LS-PL-0606,PLATE,PLATE_6x6,6,6,3.20,STARTER,Full HAP support base plate
LS-PL-0808,PLATE,PLATE_8x8,8,8,3.20,STARTER,Wide foundation plate
LS-RI-0202-H2,RISER,RISER_2x2_H2,2,2,19.20,STARTER,Fast two-brick height change
LS-RI-0202-H3,RISER,RISER_2x2_H3,2,2,28.80,STARTER,Fast three-brick height change
LS-RI-0202-H5,RISER,RISER_2x2_H5,2,2,48.00,FULL,Tall compact riser
LS-RI-0204-H3,RISER,RISER_2x4_H3,2,4,28.80,STARTER,Stable rectangular riser
LS-RI-0404-H3,RISER,RISER_4x4_H3,4,4,28.80,FULL,Wide three-brick riser
LS-TO-0202-H10,TOWER,TOWER_2x2_H10,2,2,96.00,STARTER,Tall compact GraviTrax support
LS-TO-0204-H10,TOWER,TOWER_2x4_H10,2,4,96.00,FULL,Tall rectangular support
LS-TO-0404-H5,TOWER,TOWER_4x4_H5,4,4,48.00,FULL,Wide medium-height tower
LS-SU-0606-H1,SUPPORT,FOUNDATION_6x6_H1,6,6,9.60,STARTER,Wide base for HAP carriers
LS-SU-0808-H1,SUPPORT,FOUNDATION_8x8_H1,8,8,9.60,FULL,Maximum-area foundation
LS-SU-0206-H5,SUPPORT,BRIDGE_SUPPORT_2x6_H5,2,6,48.00,FULL,Narrow tall bridge pier
LS-SU-0408-H3,SUPPORT,BRIDGE_SUPPORT_4x8_H3,4,8,28.80,STARTER,Wide bridge pier
LS-SU-0606-H3,SUPPORT,CROSS_SUPPORT_6x6_H3,6,6,28.80,FULL,Wide anti-tip center support
LS-SU-0606-H2,SUPPORT,PLATFORM_BLOCK_6x6_H2,6,6,19.20,FULL,Stackable HAP platform block
