module_id,module_name,vertical_load_pass,lateral_rigidity_pass,twist_pass,crack_free,tested_real,result,notes
STRUCT-SKY2x4,Sky Core 2x4,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-SKY4x4,Sky Core 4x4,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-SKY4x6,Sky Core 4x6,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-BRIDGE32,Bridge Dual Core S32,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-BRIDGE40,Bridge Dual Core S40,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-BRIDGE-GT32,Bridge Dual GT S32,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-FOOT32,Dual Foot Core S32,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-FOOT40,Dual Foot Core S40,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-OUT40,Cross Outrigger S40,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-TECH3H,Technic Side Core 3H,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
STRUCT-TECH5H,Technic Side Core 5H,UNTESTED,UNTESTED,UNTESTED,UNTESTED,NO,UNTESTED,
